3097853

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.72
2                       1.72
4                       1.72
8                       1.71
16                      1.99
32                      2.00
64                      2.01
128                     2.61
256                     2.62
512                     2.78
1024                    2.87
2048                    3.11
4096                    3.77
8192                    4.90
16384                   6.01
32768                   8.26
65536                  12.34
131072                 19.98
262144                 38.52
524288                 69.25
1048576               133.26
2097152               266.59
4194304               601.03
