1180780

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.53
2                       1.58
4                       1.51
8                       1.56
16                      1.88
32                      1.92
64                      1.93
128                     4.51
256                     4.59
512                     4.70
1024                    4.81
2048                    5.15
4096                    6.33
8192                    6.29
16384                   8.52
32768                  12.70
65536                  20.87
131072                 36.97
262144                 83.43
