1183170

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       3.47              2.11              1.58             13.71
2                       3.41              2.05              1.53             11.12
4                       3.37              2.01              1.50              9.98
8                       3.37              2.02              1.50             10.00
16                      4.06              2.46              1.81             11.53
32                      4.07              2.46              1.83             11.87
64                      4.07              2.46              1.82             11.71
128                     6.04              4.01              3.49             41.88
256                     6.02              4.01              3.51             42.72
512                     6.24              4.17              3.59             42.27
1024                    6.42              4.32              3.74             43.74
2048                    6.84              4.66              4.09             46.54
4096                    8.69              5.96              5.21             47.45
8192                   10.96              7.52              6.71             48.74
16384                  14.65              9.81              8.85             45.28
32768                  21.91             14.54             13.21             44.17
65536                  35.41             23.13             21.42             42.65
131072                 62.62             40.20             37.57             40.32
262144                194.42             89.87             84.33              0.00
