1368183

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      12.50
2                       5.19
4                       6.97
8                       4.74
16                      5.34
32                      7.34
64                      6.26
128                     7.85
256                     9.90
512                     8.43
1024                    9.97
2048                   27.25
4096                   13.92
8192                   24.99
16384                  23.67
32768                  37.67
65536                  63.22
131072                107.77
262144                276.90
