1369373

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      23.08             10.92              9.28              0.00
2                      22.76             17.82             15.26             67.60
4                      32.28             13.37             11.43              0.00
8                      26.51             19.45             16.71             57.76
16                     14.11             10.74              9.15             63.13
32                     22.39             14.72             12.61             39.15
64                     32.55              9.44              8.04              0.00
128                    74.26             30.10             25.98              0.00
256                    43.19             23.36             20.13              1.50
512                    40.76             21.76             18.72              0.00
1024                   36.44             22.18             19.10             25.35
2048                   64.62             26.88             23.20              0.00
4096                   68.45             43.01             37.22             31.66
8192                   82.99             45.28             39.20              3.79
16384                  55.79             35.96             31.09             36.23
32768                  77.95             47.25             40.90             24.94
65536                 142.00             82.89             71.87             17.74
131072                357.19            172.63            149.80              0.00
262144                608.55            329.99            286.69              2.84
