
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.82
2                       4.12
4                       4.08
8                       4.07
16                      4.08
32                      4.07
64                      4.08
128                     4.24
256                     6.23
512                     6.29
1024                    6.46
2048                    6.85
4096                    7.02
8192                    6.47
16384                   8.42
32768                  15.66
65536                  27.93
131072                 41.95
262144                 70.09
