
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.47              5.52              4.88             60.08
2                       7.41              5.57              4.94             62.76
4                       7.51              5.58              4.93             60.76
8                       7.40              5.52              4.90             61.61
16                      7.26              5.39              4.76             60.84
32                      7.26              5.42              4.80             61.64
64                      7.25              5.42              4.82             61.97
128                     7.66              5.85              5.16             64.86
256                    12.86              8.42              7.59             41.58
512                    13.11              8.52              7.70             40.40
1024                   13.51              8.70              7.84             38.64
2048                   13.90              9.10              8.26             41.86
4096                   14.09              9.21              8.35             41.57
8192                   15.25             10.15              9.22             44.64
16384                  17.59             11.64             10.63             44.04
32768                  30.07             20.90             19.34             52.57
65536                  43.32             31.13             28.90             57.85
131072                 69.39             51.58             48.12             62.99
262144                121.97             92.55             86.55             66.02
