1621597

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.48
2                       9.74
4                       9.39
8                       9.25
16                      9.09
32                     10.14
64                     10.16
128                    10.18
256                    10.39
512                    11.71
1024                   13.47
2048                   18.24
4096                   22.74
8192                   31.40
16384                  49.27
32768                 116.92
65536                 190.72
131072                375.80
262144                728.21
