1645181

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.65              8.66              7.85             49.25
2                      11.36              8.00              7.20             53.32
4                      11.28              7.73              6.98             49.12
8                      11.49              7.84              7.04             48.20
16                     11.99              8.32              7.49             50.96
32                     11.67              8.19              7.29             52.33
64                     11.68              7.91              7.09             46.85
128                    12.00              8.23              7.46             49.50
256                    12.53              8.73              7.90             51.86
512                    12.16              8.70              7.86             55.95
1024                   12.64              8.93              8.06             54.00
2048                   14.72             10.68              9.71             58.40
4096                   16.39             11.73             10.73             56.53
8192                   22.07             15.48             14.24             53.76
16384                  33.13             20.81             19.31             36.22
32768                 109.73             63.32             59.42             21.89
65536                 140.37             79.18             74.35             17.71
131072                204.88            115.02            108.09             16.87
262144                328.49            183.32            172.69             15.93
