1979915

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.29
2                       1.28
4                       1.29
8                       1.28
16                      1.29
32                      1.36
64                      1.37
128                     1.38
256                     1.43
512                     1.52
1024                    1.67
2048                    1.98
4096                    2.52
8192                    3.66
16384                   4.58
32768                  14.05
65536                  18.05
131072                 23.56
262144                 34.56
524288                 58.54
1048576               115.57
2097152               216.65
4194304               413.52
