4184316
# OSU MPI Multiple Bandwidth / Message Rate Test v7.4
# [ pairs: 1 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       3.36        3358717.89
2                       6.71        3355412.65
4                      13.45        3361506.96
8                      27.26        3406950.07
16                     54.22        3388656.68
32                    102.05        3189136.21
64                    206.47        3226139.80
128                   407.28        3181904.51
256                   795.80        3108590.35
512                  1514.47        2957954.98
1024                 2632.76        2571053.47
2048                 4181.30        2041648.35
4096                 5825.69        1422287.65
8192                 6650.57         811836.89
16384                5216.31         318378.59
32768                2962.57          90410.51
65536                5363.23          81836.38
131072               9644.47          73581.46
262144              11196.37          42710.75
524288              11343.21          21635.46
1048576             10981.43          10472.70
2097152             10962.80           5227.47
4194304             11030.20           2629.81
