797380

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      19.69             12.53             11.46             37.55
2                      20.30             11.41             10.40             14.50
4                      28.99             12.44             11.37              0.00
8                      46.07             23.61             21.93              0.00
16                     46.14             17.68             16.33              0.00
32                     55.76             23.63             21.96              0.00
64                     71.57             29.88             27.83              0.00
128                    32.54             18.08             16.70             13.41
256                    39.35             16.16             14.87              0.00
512                    42.39             21.81             20.23              0.00
1024                   48.83             24.26             22.54              0.00
2048                   62.83             26.62             24.76              0.00
4096                  102.21             45.67             42.75              0.00
8192                  174.10             92.39             86.90              5.98
16384                 443.58            238.30            224.72              8.65
32768                1849.45           1366.08           1290.17             62.53
65536                3226.51           2564.01           2421.87             72.65
131072               5294.72           4290.79           4053.21             75.23
262144               9326.33           7447.24           7035.22             73.29
