120819

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     162.09
2                     170.29
4                     185.19
8                     168.92
16                    135.43
32                    172.57
64                    181.00
128                   194.77
256                   168.84
512                   164.23
1024                  110.47
2048                  203.31
4096                  140.05
8192                   84.60
16384                 128.13
32768                 339.04
65536                 381.05
131072                537.20
262144                832.71
